Company,LTP,Change
BASF,1765.10,294.15
SHIVAEXPO,294.15,12.96
TTFL,12.96,2.16
INDIAGLYCO,2.16,43.20
AVONLIFE,43.20,7.20
ARROWTEX,7.20,304.30
LPDC,304.30,50.70
SHREEPUSHK,50.70,5.41
SUNDRMBRAK,5.41,0.90
BTTL,0.90,50.60
MEERA,50.60,8.40
GINNIFILA,8.40,3.62
SELMCL,3.62,0.60
VLSFINANCE,0.60,255.95
ARSHIYA,255.95,41.90
ARSSINFRA,41.90,721.30
ORBTEXP,721.30,117.10
SUNLOC,117.10,15.91
EMMBI,15.91,2.52
MINDACORP,2.52,156.00
GENUSPAPER,156.00,24.00
JAMNAAUTO,24.00,50.40
PDMJEPAPER,50.40,7.75
KOPRAN,7.75,2.64
AREYDRG,2.64,0.37
GMBREW,0.37,83.70
BARTRONICS,83.70,11.50
MANGTIMBER,11.50,85.30
SISL,85.30,11.15
KMSUGAR,11.15,51.90
M50,51.90,6.55
RCIIND,6.55,159.50
ORIENTLTD,159.50,19.40
TVSELECT,19.40,79.30
KPEL,79.30,9.30
SHBCLQ,9.30,249.25
DION,249.25,29.15
JBFIND,29.15,146.45
APTECHT,146.45,16.85
APEX,16.85,5.91
LAMBODHARA,5.91,0.65
RASANDIK,0.65,62.10
BALLARPUR,62.10,6.75
AMRITCORP,6.75,31.90
VGCL,31.90,3.45
RTSPOWR,3.45,77.40
SPIC,77.40,7.95
MALUPAPER,7.95,85.55
BAJAJHCARE,85.55,8.70
TRANSPEK,8.70,534.00
JOINDRE,534.00,51.80
