Company,LTP,Change
AXISE2DPD,9.05,-0.95
GTNINDS,-0.95,20.75
SRSFIN,20.75,-1.95
AMML,-1.95,9.21
VEERHEALTH,9.21,-0.79
SHASHIJIT,-0.79,9.60
INDUSFINL,9.60,-0.80
RESONANCE,-0.80,10.44
SSLEL,10.44,-0.86
EMMESSA,-0.86,26.50
INFODRIVE,26.50,-2.15
DUCON,-2.15,13.00
CHANDRAP,13.00,-1.00
FERVENTSYN,-1.00,31.55
DUNCANENG,31.55,-2.40
EASTRED,-2.40,135.40
CAPPIPES,135.40,-10.00
UNITINT,-10.00,20.40
ADVIKCA,20.40,-1.45
SPECTRA,-1.45,0.15
ACKNIT,0.15,-0.01
MONOT,-0.01,37.40
RAINBOWF,37.40,-2.40
TRIOMERC,-2.40,19.85
VORACON,19.85,-1.25
NARBADA,-1.25,24.15
COVENTRY,24.15,-1.50
ECOBOAR,-1.50,90.45
SAINIK,90.45,-5.55
POCHIRAJU,-5.55,99.10
SHAQUAK,99.10,-5.90
SABTN,-5.90,75.00
BALTE,75.00,-4.45
SEZAL,-4.45,6.61
SOUTLAT,6.61,-0.39
RAJPUTANA,-0.39,35.00
EDUCOMP,35.00,-1.90
ANIKINDS,-1.90,19.40
NIMBSPROJ,19.40,-1.05
ROYALIND,-1.05,118.65
TIRIN,118.65,-6.40
KRISHNACAP,-6.40,11.21
TVVISION,11.21,-0.59
NIHARINF,-0.59,22.80
DIAMANT,22.80,-1.20
CSURGSU,-1.20,14.25
RALEGRA,14.25,-0.75
YOGISUNG,-0.75,53.20
VAXHS,53.20,-2.80
BGLOBAL,-2.80,16.15
GRAVISSHO,16.15,-0.85
