AXISE2DPD,9.05,-0.95,-9.50
GTNINDS,-0.95,20.75,-8.59
SRSFIN,20.75,-1.95,-7.90
AMML,-1.95,9.21,-7.69
VEERHEALTH,9.21,-0.79,-7.61
SHASHIJIT,-0.79,9.60,-7.50
INDUSFINL,9.60,-0.80,-7.14
RESONANCE,-0.80,10.44,-7.07
SSLEL,10.44,-0.86,-6.88
EMMESSA,-0.86,26.50,-6.64
INFODRIVE,26.50,-2.15,-6.25
DUCON,-2.15,13.00,-6.03
CHANDRAP,13.00,-1.00,-5.92
FERVENTSYN,-1.00,31.55,-5.85
DUNCANENG,31.55,-2.40,-5.78
EASTRED,-2.40,135.40,-5.62
CAPPIPES,135.40,-10.00,-5.60
UNITINT,-10.00,20.40,-5.57
ADVIKCA,20.40,-1.45,-5.15
SPECTRA,-1.45,0.15,-5.13
ACKNIT,0.15,-0.01,-5.12
MONOT,-0.01,37.40,-5.00
RAINBOWF,37.40,-2.40,-5.00
TRIOMERC,-2.40,19.85,-5.00
VORACON,19.85,-1.25,-5.00
NARBADA,-1.25,24.15,-5.00
COVENTRY,24.15,-1.50,-5.00
ECOBOAR,-1.50,90.45,-5.00
SAINIK,90.45,-5.55,-5.00
POCHIRAJU,-5.55,99.10,-4.99
SHAQUAK,99.10,-5.90,-4.99
SABTN,-5.90,75.00,-4.98
BALTE,75.00,-4.45,-4.98
SEZAL,-4.45,6.61,-4.98
SOUTLAT,6.61,-0.39,-4.98
RAJPUTANA,-0.39,35.00,-4.98
EDUCOMP,35.00,-1.90,-4.98
ANIKINDS,-1.90,19.40,-4.97
NIMBSPROJ,19.40,-1.05,-4.97
ROYALIND,-1.05,118.65,-4.97
TIRIN,118.65,-6.40,-4.97
KRISHNACAP,-6.40,11.21,-4.97
TVVISION,11.21,-0.59,-4.96
NIHARINF,-0.59,22.80,-4.96
DIAMANT,22.80,-1.20,-4.96
CSURGSU,-1.20,14.25,-4.96
RALEGRA,14.25,-0.75,-4.95
YOGISUNG,-0.75,53.20,-4.95
VAXHS,53.20,-2.80,-4.95
BGLOBAL,-2.80,16.15,-4.94
GRAVISSHO,16.15,-0.85,-4.94
