Company,LTP,Change
AXISE2DPD,9.05,-0.95
GTNINDS,-0.95,20.75
SRSFIN,20.75,-1.95
AMML,-1.95,9.21
VEERHEALTH,9.21,-0.79
SHASHIJIT,-0.79,9.60
INDUSFINL,9.60,-0.80
RESONANCE,-0.80,10.44
SSLEL,10.44,-0.86
EMMESSA,-0.86,26.50
INFODRIVE,26.50,-2.15
DUCON,-2.15,13.00
CHANDRAP,13.00,-1.00
FERVENTSYN,-1.00,31.55
DUNCANENG,31.55,-2.40
EASTRED,-2.40,135.40
CAPPIPES,135.40,-10.00
UNITINT,-10.00,20.40
ADVIKCA,20.40,-1.45
SPECTRA,-1.45,0.15
ACKNIT,0.15,-0.01
MONOT,-0.01,37.40
VORACON,37.40,-2.40
COVENTRY,-2.40,19.85
ECOBOAR,19.85,-1.25
SAINIK,-1.25,24.15
RAINBOWF,24.15,-1.50
NARBADA,-1.50,90.45
TRIOMERC,90.45,-5.55
SHAQUAK,-5.55,99.10
POCHIRAJU,99.10,-5.90
SOUTLAT,-5.90,75.00
BALTE,75.00,-4.45
SABTN,-4.45,6.61
EDUCOMP,6.61,-0.39
RAJPUTANA,-0.39,35.00
SEZAL,35.00,-1.90
NIMBSPROJ,-1.90,19.40
ANIKINDS,19.40,-1.05
TIRIN,-1.05,118.65
KRISHNACAP,118.65,-6.40
ROYALIND,-6.40,11.21
NIHARINF,11.21,-0.59
TVVISION,-0.59,53.20
DIAMANT,53.20,-2.80
CSURGSU,-2.80,3.23
YOGISUNG,3.23,-0.17
RALEGRA,-0.17,4.75
VAXHS,4.75,-0.25
GRAVISSHO,-0.25,27.55
ANARINDUS,27.55,-1.45
